date,Time,price,percentChange,change
9/1/1993,0:00:00,18.79,2.733734281,0.5
10/1/1993,0:00:00,16.92,-9.952102182,-1.87
11/1/1993,0:00:00,15.43,-8.806146572,-1.49
12/1/1993,0:00:00,14.17,-8.165910564,-1.26
1/4/1994,0:00:00,15.19,7.198306281,1.02
2/1/1994,0:00:00,14.48,-4.674127716,-0.71
3/1/1994,0:00:00,14.79,2.140883978,0.31
4/4/1994,0:00:00,16.9,14.26639621,2.11
5/3/1994,0:00:00,18.31,8.343195266,1.41
6/1/1994,0:00:00,19.37,5.789186237,1.06
7/1/1994,0:00:00,19.77,2.065049045,0.4
8/1/1994,0:00:00,17.56,-11.17855336,-2.21
9/1/1994,0:00:00,18.39,4.726651481,0.83
10/3/1994,0:00:00,18.19,-1.08754758,-0.2
11/1/1994,0:00:00,18.05,-0.769653656,-0.14
12/1/1994,0:00:00,17.76,-1.606648199,-0.29
1/3/1995,0:00:00,18.39,3.547297297,0.63
2/1/1995,0:00:00,18.49,0.54377379,0.1
3/1/1995,0:00:00,19.17,3.677663602,0.68
4/3/1995,0:00:00,20.38,6.311945749,1.21
5/1/1995,0:00:00,18.89,-7.311089303,-1.49
6/1/1995,0:00:00,17.4,-7.887771308,-1.49
7/5/1995,0:00:00,17.56,0.91954023,0.16
8/1/1995,0:00:00,17.84,1.59453303,0.28
9/1/1995,0:00:00,17.54,-1.68161435,-0.3
10/2/1995,0:00:00,17.64,0.570125428,0.1
11/1/1995,0:00:00,18.18,3.06122449,0.54
12/1/1995,0:00:00,19.55,7.535753575,1.37
1/2/1996,0:00:00,17.74,-9.25831202,-1.81
2/1/1996,0:00:00,19.54,10.14656144,1.8
3/1/1996,0:00:00,21.47,9.877175026,1.93
4/1/1996,0:00:00,21.2,-1.257568701,-0.27
5/1/1996,0:00:00,19.76,-6.79245283,-1.44
6/3/1996,0:00:00,20.92,5.870445344,1.16
7/1/1996,0:00:00,20.42,-2.390057361,-0.5
8/1/1996,0:00:00,22.25,8.961802155,1.83
9/3/1996,0:00:00,24.38,9.573033708,2.13
10/1/1996,0:00:00,23.35,-4.224774405,-1.03
11/1/1996,0:00:00,23.75,1.713062099,0.4
12/2/1996,0:00:00,25.92,9.136842105,2.17
1/2/1997,0:00:00,24.15,-6.828703704,-1.77
2/3/1997,0:00:00,20.3,-15.94202899,-3.85
3/3/1997,0:00:00,20.41,0.541871921,0.11
4/1/1997,0:00:00,20.21,-0.979911808,-0.2
5/1/1997,0:00:00,20.88,3.3151905,0.67
6/2/1997,0:00:00,19.8,-5.172413793,-1.08
7/1/1997,0:00:00,20.14,1.717171717,0.34
8/1/1997,0:00:00,19.61,-2.631578947,-0.53
9/2/1997,0:00:00,21.18,8.006119327,1.57
10/1/1997,0:00:00,21.08,-0.472143532,-0.1
11/3/1997,0:00:00,19.15,-9.155597723,-1.93
12/1/1997,0:00:00,17.64,-7.885117493,-1.51
1/2/1998,0:00:00,17.21,-2.437641723,-0.43
2/2/1998,0:00:00,15.44,-10.28471819,-1.77
3/2/1998,0:00:00,15.61,1.101036269,0.17
4/1/1998,0:00:00,15.39,-1.409352979,-0.22
5/1/1998,0:00:00,15.2,-1.234567901,-0.19
6/1/1998,0:00:00,14.18,-6.710526316,-1.02
7/1/1998,0:00:00,14.21,0.211565585,0.03
8/3/1998,0:00:00,13.34,-6.12244898,-0.87
9/1/1998,0:00:00,16.14,20.98950525,2.8
10/1/1998,0:00:00,14.42,-10.65675341,-1.72
11/2/1998,0:00:00,11.22,-22.19140083,-3.2
12/1/1998,0:00:00,12.05,7.397504456,0.83
1/4/1999,0:00:00,12.75,5.809128631,0.7
2/1/1999,0:00:00,12.27,-3.764705882,-0.48
3/1/1999,0:00:00,16.76,36.59331703,4.49
4/1/1999,0:00:00,18.66,11.33651551,1.9
5/3/1999,0:00:00,16.84,-9.753483387,-1.82
6/1/1999,0:00:00,19.29,14.54869359,2.45
7/1/1999,0:00:00,20.53,6.42820114,1.24
8/2/1999,0:00:00,22.11,7.696054554,1.58
9/1/1999,0:00:00,24.51,10.85481682,2.4
10/1/1999,0:00:00,21.75,-11.26070991,-2.76
11/1/1999,0:00:00,24.59,13.05747126,2.84
12/1/1999,0:00:00,25.6,4.107360716,1.01
1/4/2000,0:00:00,27.64,7.96875,2.04
2/1/2000,0:00:00,30.43,10.09406657,2.79
3/1/2000,0:00:00,26.9,-11.60039435,-3.53
4/3/2000,0:00:00,25.74,-4.312267658,-1.16
5/1/2000,0:00:00,29.01,12.7039627,3.27
6/1/2000,0:00:00,32.5,12.03033437,3.49
7/5/2000,0:00:00,27.43,-15.6,-5.07
8/1/2000,0:00:00,33.12,20.74371127,5.69
9/1/2000,0:00:00,30.84,-6.884057971,-2.28
10/2/2000,0:00:00,32.7,6.031128405,1.86
11/1/2000,0:00:00,33.82,3.425076453,1.12
12/1/2000,0:00:00,26.8,-20.75694855,-7.02
1/2/2001,0:00:00,28.66,6.940298507,1.86
2/1/2001,0:00:00,27.39,-4.431263084,-1.27
3/1/2001,0:00:00,26.29,-4.016064257,-1.1
4/2/2001,0:00:00,28.46,8.254089007,2.17
5/1/2001,0:00:00,28.37,-0.31623331,-0.09
6/1/2001,0:00:00,26.25,-7.472682411,-2.12
7/2/2001,0:00:00,26.35,0.380952381,0.1
8/1/2001,0:00:00,27.2,3.225806452,0.85
9/4/2001,0:00:00,23.43,-13.86029412,-3.77
10/1/2001,0:00:00,21.18,-9.603072983,-2.25
11/1/2001,0:00:00,19.44,-8.21529745,-1.74
12/3/2001,0:00:00,19.84,2.057613169,0.4
1/2/2002,0:00:00,19.48,-1.814516129,-0.36
2/1/2002,0:00:00,21.74,11.60164271,2.26
3/1/2002,0:00:00,26.31,21.02115915,4.57
4/1/2002,0:00:00,27.29,3.72481946,0.98
5/1/2002,0:00:00,25.31,-7.25540491,-1.98
6/3/2002,0:00:00,26.86,6.124061636,1.55
7/1/2002,0:00:00,27.02,0.59568131,0.16
8/1/2002,0:00:00,28.98,7.25388601,1.96
9/3/2002,0:00:00,30.45,5.072463768,1.47
10/1/2002,0:00:00,27.22,-10.60755337,-3.23
11/1/2002,0:00:00,26.89,-1.212343865,-0.33
12/2/2002,0:00:00,31.2,16.02826329,4.31
1/2/2003,0:00:00,33.51,7.403846154,2.31
2/3/2003,0:00:00,36.6,9.221128021,3.09
3/3/2003,0:00:00,31.04,-15.19125683,-5.56
4/1/2003,0:00:00,25.8,-16.8814433,-5.24
5/1/2003,0:00:00,29.56,14.57364341,3.76
6/2/2003,0:00:00,30.19,2.131258457,0.63
7/1/2003,0:00:00,30.54,1.15932428,0.35
8/1/2003,0:00:00,31.57,3.372626064,1.03
9/2/2003,0:00:00,29.2,-7.507127019,-2.37
10/1/2003,0:00:00,29.11,-0.308219178,-0.09
11/3/2003,0:00:00,30.41,4.465819306,1.3
12/1/2003,0:00:00,32.52,6.93850707,2.11
1/5/2004,0:00:00,33.05,1.629766298,0.53
2/2/2004,0:00:00,36.16,9.409984871,3.11
3/1/2004,0:00:00,35.76,-1.10619469,-0.4
4/1/2004,0:00:00,37.38,4.530201342,1.62
5/3/2004,0:00:00,39.88,6.688068486,2.5
6/2/2004,0:00:00,37.05,-7.096288867,-2.83
7/1/2004,0:00:00,43.8,18.21862348,6.75
8/2/2004,0:00:00,42.12,-3.835616438,-1.68
9/1/2004,0:00:00,49.64,17.85375119,7.52
10/1/2004,0:00:00,51.76,4.270749396,2.12
11/1/2004,0:00:00,49.13,-5.08114374,-2.63
12/1/2004,0:00:00,43.45,-11.56116426,-5.68
1/3/2005,0:00:00,48.2,10.93210587,4.75
2/1/2005,0:00:00,51.75,7.365145228,3.55
3/1/2005,0:00:00,55.4,7.053140097,3.65
4/1/2005,0:00:00,49.72,-10.25270758,-5.68
5/2/2005,0:00:00,51.97,4.525341915,2.25
6/1/2005,0:00:00,56.5,8.71656725,4.53
7/1/2005,0:00:00,60.57,7.203539823,4.07
8/1/2005,0:00:00,68.94,13.81872214,8.37
9/1/2005,0:00:00,66.24,-3.916449086,-2.7
10/3/2005,0:00:00,59.76,-9.782608696,-6.48
11/1/2005,0:00:00,57.32,-4.082998661,-2.44
12/1/2005,0:00:00,61.04,6.489881368,3.72
1/3/2006,0:00:00,67.92,11.27129751,6.88
2/1/2006,0:00:00,61.41,-9.584805654,-6.51
3/1/2006,0:00:00,66.63,8.50024426,5.22
4/3/2006,0:00:00,71.88,7.879333633,5.25
5/1/2006,0:00:00,71.29,-0.820812465,-0.59
6/1/2006,0:00:00,73.93,3.703184177,2.64
7/5/2006,0:00:00,74.4,0.635736508,0.47
8/1/2006,0:00:00,70.26,-5.564516129,-4.14
9/1/2006,0:00:00,62.91,-10.46114432,-7.35
10/2/2006,0:00:00,58.73,-6.644412653,-4.18
11/1/2006,0:00:00,63.13,7.49191214,4.4
12/1/2006,0:00:00,61.05,-3.294788532,-2.08
1/2/2007,0:00:00,58.14,-4.766584767,-2.91
2/1/2007,0:00:00,61.79,6.277949776,3.65
3/1/2007,0:00:00,65.87,6.603010196,4.08
4/2/2007,0:00:00,65.71,-0.242902687,-0.16
5/1/2007,0:00:00,64.01,-2.587125247,-1.7
6/1/2007,0:00:00,70.68,10.42024684,6.67
7/2/2007,0:00:00,78.21,10.65365025,7.53
8/1/2007,0:00:00,74.04,-5.331799003,-4.17
9/4/2007,0:00:00,81.66,10.2917342,7.62
10/1/2007,0:00:00,94.53,15.76047024,12.87
11/1/2007,0:00:00,88.71,-6.156775627,-5.82
12/3/2007,0:00:00,95.98,8.195242926,7.27
1/2/2008,0:00:00,91.75,-4.40716816,-4.23
2/1/2008,0:00:00,101.84,10.9972752,10.09
3/3/2008,0:00:00,101.58,-0.255302435,-0.26
